,application_number,orig_funding_request,cmtd_funding_request,consulting_firms_name,consulting_firms_email,applicant_type,applicant_city,applicant_state,cmtd_discount,service_type,function,funding_gap
17,170061576,28876,28876,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wap,0
18,170075348,25291,25291,Csm Consulting Inc.,kfriends@csmcentral.com,School District,REDDING,CA,80,Internal Connections,"Antennas, Connectors, And Related Components",0
19,170052240,35501,31492,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LAWNDALE,CA,85,Internal Connections,Ups/Battery Backup,4009
20,170081400,5125,0,Funds For Learning,jharrington@fundsforlearning.com,Consortium,REDWOOD CITY,CA,84,Basic Maintenance Of Internal Connections,Wap,5125
21,170061576,11000,11000,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wireless Controller,0
22,170054974,43721,43721,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85,Basic Maintenance Of Internal Connections,Switches,0
23,170054974,21238,21238,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85,Basic Maintenance Of Internal Connections,Wap,0
24,170054974,80436,80436,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85,Basic Maintenance Of Internal Connections,Wap,0
25,170065593,25585,0,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Internal Connections,Switches,25585
26,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Basic Maintenance Of Internal Connections,Switches,17007
27,170064063,14152,14152,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,SAN DIEGO,CA,80,Internal Connections,Caching,0
28,170061576,802,802,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wap,0
29,170065593,11870,11870,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Basic Maintenance Of Internal Connections,Wap,0
30,170049563,1768,1768,Csm Consulting Inc.,kfriends@csmcentral.com,School District,GUADALUPE,CA,30,Internal Connections,Switches,0
31,170064914,15552,15552,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Basic Maintenance Of Internal Connections,Switches,0
32,170064914,53149,53149,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
33,170074621,7683,7683,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80,Internal Connections,"Antennas, Connectors, And Related Components",0
34,170061576,802,802,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
35,170061576,12375,12375,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Wireless Controller,0
36,170061576,30251,30251,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wireless Controller,0
37,170058731,8100,8100,Csm Consulting Inc.,kfriends@csmcentral.com,School District,WINTERS,CA,80,Internal Connections,"Antennas, Connectors, And Related Components",0
38,170051028,330474,267233,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,77,Internet Access And/Or Telecommunications,Lit Fiber Service,63241
39,170048326,7922,7922,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,TULARE,CA,85,Internal Connections,Wireless Controller,0
40,170069647,77220,42120,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,LOS ANGELES,CA,90,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,35100
41,170059293,7917,6334,The Miller Institute For Learning With Technology,emiller@learningtech.org,School District,Westminster,CA,20,Internal Connections,Wap,1583
42,170047995,133944,133944,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALM SPRINGS,CA,85,Internal Connections,Switches,0
43,170061576,218,218,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,"Antennas, Connectors, And Related Components",0
44,170064914,34609,34609,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Internal Connections,Switches,0
45,170081465,4211,4211,"Sutherland Consulting Group, Inc. Dba Edtechnologyfunds, Inc.",bsutherland@edtechnologyfunds.com,Library System,LONG BEACH,CA,80,Internal Connections,Wap,0
46,170077049,36714,36714,Csm Consulting Inc.,kfriends@csmcentral.com,School District,HOLLISTER,CA,80,Basic Maintenance Of Internal Connections,Switches,0
47,170051028,88200,88200,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,90,Internet Access And/Or Telecommunications,Dark Fiber,0
48,170054726,23933,23933,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ADELANTO,CA,85,Basic Maintenance Of Internal Connections,Switches,0
49,170055879,36178,36178,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MODESTO,CA,85,Internal Connections,Cabling,0
50,170069647,0,4903,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,LOS ANGELES,CA,30,Internal Connections,Cabling,-4903
51,170081884,982,251,"Sutherland Consulting Group, Inc. Dba Edtechnologyfunds, Inc.",bsutherland@edtechnologyfunds.com,Consortium,SAN BERNARDINO,CA,20,Internet Access And/Or Telecommunications,Cellular Voice,731
52,170073673,69048,69048,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,NOVATO,CA,50,Internal Connections,Switches,0
53,170055879,42407,42407,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MODESTO,CA,85,Basic Maintenance Of Internal Connections,Wap,0
54,170066253,5380,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Basic Maintenance Of Internal Connections,Wap,5380
55,170048326,11322,0,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,TULARE,CA,85,Internal Connections,Cabling,11322
56,170064796,137570,137570,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,80,Internal Connections,Ups/Battery Backup,0
57,170064796,14324,14324,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,80,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
58,170050105,311,311,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN LUIS OBISPO,CA,20,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
59,170061576,1532,1532,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,"Antennas, Connectors, And Related Components",0
60,170066253,17007,0,Rdv Consulting Services,rick.delvalle@yahoo.com,School District,SAN JUAN CAPO,CA,50,Basic Maintenance Of Internal Connections,Switches,17007
61,170065593,18113,18113,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Basic Maintenance Of Internal Connections,Cabling,0
62,170047188,204358,194700,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,90,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,9658
63,170061077,71094,71094,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SOLEDAD,CA,85,Internal Connections,Racks,0
64,170047188,39129,0,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,90,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,39129
65,170048326,157034,106856,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,TULARE,CA,85,Internal Connections,Cabling,50178
66,170060899,82613,82613,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LANCASTER,CA,85,Basic Maintenance Of Internal Connections,Switches,0
67,170064796,23271,23271,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,80,Internal Connections,Wap,0
68,170056018,29622,22892,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LOMPOC,CA,80,Basic Maintenance Of Internal Connections,Switches,6730
69,170066253,29714,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",29714
70,170064914,31454,31454,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
71,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Basic Maintenance Of Internal Connections,Wap,17007
72,170055124,3051,2795,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PLACENTIA,CA,60,Internal Connections,Switches,256
73,170077049,45728,45728,Csm Consulting Inc.,kfriends@csmcentral.com,School District,HOLLISTER,CA,80,Internal Connections,Wap,0
74,170065593,4097,0,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Internal Connections,"Antennas, Connectors, And Related Components",4097
75,170057989,6545,6545,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MODESTO,CA,30,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,0
76,170063248,419,419,Csm Consulting Inc.,kfriends@csmcentral.com,School District,GOLETA,CA,60,Managed Internal Broadband Services,Existing Equipment,0
77,170064063,17178,17178,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,SAN DIEGO,CA,80,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,0
78,170061576,12375,12375,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Cabling,0
79,170051028,1469820,999515,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,93,Internet Access And/Or Telecommunications,Lit Fiber Service,470305
80,170056018,11849,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LOMPOC,CA,80,Basic Maintenance Of Internal Connections,Ups/Battery Backup,11849
81,170064391,10809,10809,"Tech Ed Services, Inc",info@techedservices.com,School District,LOS ALAMITOS,CA,40,Internal Connections,Router,0
82,170064861,9792,7384,Mattison Enterprises,loy@surewest.net,School District,ROSEVILLE,CA,50,Basic Maintenance Of Internal Connections,Wap,2408
83,170061576,656,656,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,"Antennas, Connectors, And Related Components",0
84,170054955,5094,5094,Csm Consulting Inc.,kfriends@csmcentral.com,School District,JACKSON,CA,70,Internal Connections,"Antennas, Connectors, And Related Components",0
85,170065593,18351,18351,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Internal Connections,Switches,0
86,170054974,5683,5683,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85,Internal Connections,Racks,0
87,170069647,0,12976,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,LOS ANGELES,CA,30,Internal Connections,"Antennas, Connectors, And Related Components",-12976
88,170054974,17519,17519,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
89,170065593,272,272,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
90,170058874,6990,6990,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALO ALTO,CA,40,Managed Internal Broadband Services,Existing Equipment,0
91,170079758,6463,0,E-Rate Central,whimsworth@e-ratecentral.com,School District,CERRITOS,CA,80,Internal Connections,Wap,6463
92,170080148,39759,37209,"Sutherland Consulting Group, Inc. Dba Edtechnologyfunds, Inc.",bsutherland@edtechnologyfunds.com,Library System,DOWNEY,CA,85,Internal Connections,Switches,2550
93,170051844,10003,10003,Csm Consulting Inc.,kfriends@csmcentral.com,School District,COSTA MESA,CA,60,Internal Connections,Wap,0
94,170066253,72300,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Internal Connections,Cabling,72300
95,170051028,48299,48934,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,77,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,-635
96,170061576,12375,12375,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Wireless Controller,0
97,170074618,21424,15225,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80,Basic Maintenance Of Internal Connections,Wap,6199
98,170048705,2794,2794,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ANDERSON,CA,80,Internal Connections,Ups/Battery Backup,0
99,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",17007
100,170055124,1525,1525,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PLACENTIA,CA,60,Internal Connections,Wap,0
101,170066253,17007,0,Rdv Consulting Services,rick.delvalle@yahoo.com,School District,SAN JUAN CAPO,CA,50,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",17007
102,170065593,18113,18113,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
103,170081400,1764,1764,Funds For Learning,jharrington@fundsforlearning.com,Consortium,REDWOOD CITY,CA,84,Basic Maintenance Of Internal Connections,Caching,0
104,170055157,15941,15941,Csm Consulting Inc.,kfriends@csmcentral.com,School District,DOS PALOS,CA,85,Basic Maintenance Of Internal Connections,Cabling,0
105,170065593,14620,0,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Basic Maintenance Of Internal Connections,Ups/Battery Backup,14620
106,170064914,37740,37740,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Internal Connections,"Antennas, Connectors, And Related Components",0
107,170064063,17178,17178,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,SAN DIEGO,CA,80,Basic Maintenance Of Internal Connections,Router,0
108,170058998,11504,11504,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SOUTH PASADENA,CA,40,Internet Access And/Or Telecommunications,Other,0
109,170061969,2292,1580,Mattison Enterprises,loy@surewest.net,School District,FAIRFIELD,CA,80,Internal Connections,"Antennas, Connectors, And Related Components",712
110,170061576,729,729,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Cabling,0
111,170047188,10130,10130,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,40,Internet Access And/Or Telecommunications,Lit Fiber Service,0
112,170066253,5380,0,Rdv Consulting Services,rick.delvalle@yahoo.com,School District,SAN JUAN CAPO,CA,50,Internal Connections,Ups/Battery Backup,5380
113,170064914,2575,2575,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Internal Connections,"Antennas, Connectors, And Related Components",0
114,170074924,23644,22741,Csm Consulting Inc.,kfriends@csmcentral.com,School District,HUNTINGTON BEACH,CA,50,Basic Maintenance Of Internal Connections,Wap,903
115,170054955,52863,52863,Csm Consulting Inc.,kfriends@csmcentral.com,School District,JACKSON,CA,70,Internal Connections,Firewall Service And Components,0
116,170054974,6437,6437,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85,Basic Maintenance Of Internal Connections,Switches,0
117,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,17007
118,170054974,37717,37717,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85,Internal Connections,Racks,0
119,170081400,46293,46293,Funds For Learning,jharrington@fundsforlearning.com,Consortium,REDWOOD CITY,CA,84,Basic Maintenance Of Internal Connections,Wap,0
120,170052636,9094,9094,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,SAN JOSE,CA,85,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
121,170080148,24486,21936,"Sutherland Consulting Group, Inc. Dba Edtechnologyfunds, Inc.",bsutherland@edtechnologyfunds.com,Library System,DOWNEY,CA,85,Internal Connections,Wap,2550
122,170081400,36944,36830,Funds For Learning,jharrington@fundsforlearning.com,Consortium,REDWOOD CITY,CA,84,Internal Connections,Firewall Service And Components,114
123,170081465,4956,4956,"Sutherland Consulting Group, Inc. Dba Edtechnologyfunds, Inc.",bsutherland@edtechnologyfunds.com,Library System,LONG BEACH,CA,80,Internal Connections,Firewall Service And Components,0
124,170054974,12815,12815,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85,Basic Maintenance Of Internal Connections,Wap,0
125,170057083,15648,0,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,DALY CITY,CA,80,Internal Connections,"Antennas, Connectors, And Related Components",15648
126,170061077,70051,70051,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SOLEDAD,CA,85,Internal Connections,Cabling,0
127,170047995,50319,50319,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALM SPRINGS,CA,85,Internal Connections,Switches,0
128,170076213,5023,5023,Csm Consulting Inc.,kfriends@csmcentral.com,School District,RIVERSIDE,CA,90,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
129,170048326,11322,0,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,TULARE,CA,85,Internal Connections,Racks,11322
130,170061576,656,656,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wap,0
131,170066634,509,0,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,SAN MARCOS,CA,60,Basic Maintenance Of Internal Connections,Router,509
132,170052764,9895,7034,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,PINE VALLEY,CA,80,Internal Connections,Switches,2861
133,170058708,67792,67792,Csm Consulting Inc.,kfriends@csmcentral.com,School District,VICTORVILLE,CA,85,Basic Maintenance Of Internal Connections,Wap,0
134,170049563,3264,3264,Csm Consulting Inc.,kfriends@csmcentral.com,School District,GUADALUPE,CA,30,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
135,170055157,1955,1955,Csm Consulting Inc.,kfriends@csmcentral.com,School District,DOS PALOS,CA,85,Internal Connections,Wap,0
136,170074621,8012,6596,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80,Basic Maintenance Of Internal Connections,Switches,1416
137,170056849,2924,1884,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,Los Angeles,CA,50,Internal Connections,Router,1040
138,170074618,2526,1691,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80,Internal Connections,Wap,835
139,170066253,17007,0,Rdv Consulting Services,rick.delvalle@yahoo.com,School District,SAN JUAN CAPO,CA,50,Internal Connections,Wireless Controller,17007
140,170061576,19250,19250,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wap,0
141,170065450,4602,4602,Csm Consulting Inc.,kfriends@csmcentral.com,School District,WHITTIER,CA,60,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
142,170058608,93064,90638,Csm Consulting Inc.,kfriends@csmcentral.com,School District,W SACRAMENTO,CA,80,Managed Internal Broadband Services,Existing Equipment,2426
143,170061576,802,802,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Wap,0
144,170061576,15125,15125,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Wap,0
145,170064914,13012,13012,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Internal Connections,"Antennas, Connectors, And Related Components",0
146,170049302,38469,38469,E-Rate Online Llc,msagnella@erateportal.com,School District,MADERA,CA,85,Internal Connections,Cabling,0
147,170061576,291,291,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wap,0
148,170054974,99048,99048,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85,Internal Connections,"Antennas, Connectors, And Related Components",0
149,170061965,23849,23647,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ALTA LOMA,CA,60,Internal Connections,"Antennas, Connectors, And Related Components",202
150,170080148,33074,30524,"Sutherland Consulting Group, Inc. Dba Edtechnologyfunds, Inc.",bsutherland@edtechnologyfunds.com,Library System,DOWNEY,CA,85,Internal Connections,Router,2550
151,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Basic Maintenance Of Internal Connections,Cabling,17007
152,170058874,23398,23398,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALO ALTO,CA,40,Internal Connections,Wap,0
153,170075348,40469,40469,Csm Consulting Inc.,kfriends@csmcentral.com,School District,REDDING,CA,80,Basic Maintenance Of Internal Connections,Switches,0
154,170061576,1532,1532,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wap,0
155,170065593,4468,4468,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Internal Connections,"Antennas, Connectors, And Related Components",0
156,170051829,8023,8023,Csm Consulting Inc.,kfriends@csmcentral.com,School District,COSTA MESA,CA,60,Internal Connections,Switches,0
157,170065593,12074,12074,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
158,170066253,4035,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Internal Connections,Firewall Service And Components,4035
159,170047188,10456,10456,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,57,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
160,170074618,476,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80,Internal Connections,Wap,476
161,170064796,1912,1912,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,20,Internal Connections,Switches,0
162,170058998,11504,11504,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SOUTH PASADENA,CA,40,Internal Connections,Cabling,0
163,170064063,1267,1167,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,SAN DIEGO,CA,20,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,100
164,170073854,27043,27043,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,KEYES,CA,80,Basic Maintenance Of Internal Connections,Wap,0
165,170061576,948,948,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Cabling,0
166,170055879,36178,36178,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MODESTO,CA,85,Basic Maintenance Of Internal Connections,Wap,0
167,170066253,84053,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Internal Connections,Wireless Controller,84053
168,170061576,13750,13750,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Cabling,0
169,170048326,10676,0,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,TULARE,CA,85,Internal Connections,Wap,10676
170,170058608,1876,1876,Csm Consulting Inc.,kfriends@csmcentral.com,School District,W SACRAMENTO,CA,20,Managed Internal Broadband Services,Existing Equipment,0
171,170054974,44354,44354,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85,Internal Connections,Racks,0
172,170055157,19681,19681,Csm Consulting Inc.,kfriends@csmcentral.com,School District,DOS PALOS,CA,85,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
173,170048934,3847,0,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,56,Internet Access And/Or Telecommunications,Lit Fiber Service,3847
174,170064796,3480,3258,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,20,Basic Maintenance Of Internal Connections,Ups/Battery Backup,222
175,170052240,35501,31492,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LAWNDALE,CA,85,Internal Connections,Racks,4009
176,170072419,4047,1663,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN LEANDRO,CA,80,Internal Connections,Racks,2384
177,170061576,729,729,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Wireless Controller,0
